Motif,TF
P53_DECAMER_Q2,Trp53;Trp53-ps;Trp63;Trp73
PADS_C,-
PAX_Q6,Pax1;Pax2;Pax3;Pax4;Pax5;Pax6;Pax8;Pxn
PAX1_B,Pax1
PAX2_01,Pax2
PAX2_02,Pax2
PAX3_01,Pax3
PAX3_B,Pax3
PAX4_01,Pax4
PAX4_02,Pax4
PAX4_03,Pax4
PAX4_04,Pax4
PAX5_01,Pax5
PAX5_02,Pax5
PAX6_01,Pax6
PAX6_Q2,Pax6
PAX8_01,Pax8
PAX8_B,Pax8
PAX9_B,Pax9
PBX_Q3,Pbx1;Pbx2;Pbx3
PBX1_01,Pbx1
PBX1_02,Pbx1
PBX1_03,Pbx1
PEA3_Q6,Etv4
PEBP_Q6,Runx2;Runx1;Runx3;Cbfb
PIT1_Q6,Pou1f1
PITX2_Q2,Pitx2
PLZF_02,Zbtb16
POLY_C,-
POU1F1_Q6,Pou1f1
POU3F2_01,Pou3f2
POU3F2_02,Pou3f2
POU6F1_01,Pou6f1
PPAR_DR1_Q2,Ppara;Ppard;Pparg
PPARA_01,Ppara
PPARA_02,Ppara;Rxra
PPARG_01,Pparg
PPARG_02,Pparg
PPARG_03,Ppara;Pparg
PR_01,Pgr;pr
PR_02,Pgr;pr
PR_Q2,gr;Nr3c1;Pgr;pr
PTF1BETA_Q6,-
PU1_Q4,Sfpi1
PU1_Q6,Sfpi1
PXR_Q2,Nr1i3;Casr;Nr1i2;Nr1h4;Pex5l
PXRRXR_01,-
PXRRXR_02,Nr1i2
R_01,Pde6b
RBPJK_01,Rbpj
RBPJK_Q4,Rbpj
RFX_Q6,Rfxap;Rfx1;Rfx2;Rfx3;Rfxank;Rfx5;Rfx4
RFX1_01,Rfx1
RFX1_02,Rfx1
ROAZ_01,Foxc1;Zfp423
RORA_Q4,Rora
RORA1_01,Rora
RORA2_01,Rora
RP58_01,Zfp238
RREB1_01,Foxc1;Rreb1
RSRFC4_01,Mef2a
RSRFC4_Q2,Mef2a
RUSH1A_02,Hltf
S8_01,Prrx2
SAP1A_01,Elk4
SEF1_C,-
SF1_Q6,Sf1;Nr5a1;Nr5a2
SF1_Q6_01,Sf1;Nr5a1;Nr5a2
SMAD_Q6,Smad1;Smad2;Smad3;Smad4
SMAD_Q6_01,Smad1;Smad2;Smad3;Smad4;Smad5;Smad6;Smad7;Smad9
SMAD3_Q6,Smad3
SMAD4_Q6,Smad4
SOX_Q6,Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox3;Sox4;Sox5;Sox6;Sox8;Sox9;Sry;Sox21
SOX10_Q6,Sox10
SOX17_01,Sox17
SOX5_01,Sox5
SOX9_B1,Sox9
SP1_01,Foxc1;Sp1
SP1_Q2_01,Foxc1;Sp1;Sp3;Sp4;Sp2
SP1_Q4_01,Foxc1;Sp1;Sp3;Sp4;Sp2
SP1_Q6,Foxc1;Sp1
SP1_Q6_01,Foxc1;Sp1;Sp3;Sp4
SP3_Q3,Foxc1;Sp3
SPZ1_01,Spz1
SREBP_Q3,Srebf1;Srebf2
SREBP_Q6,Srebf1;Srebf2
SREBP1_01,Srebf1
SREBP1_02,Srebf1
SREBP1_Q5,Srebf1
SREBP1_Q6,Srebf1
SREBP2_Q6,Srebf2
SRF_01,Srf
SRF_C,Srf
SRF_Q4,Srf
SRF_Q5_01,Srf
SRF_Q5_02,Srf
SRF_Q6,Srf
SRY_01,Sry
SRY_02,Sry
STAF_01,Foxc1;Zfp143
STAF_02,Foxc1;Zfp143
STAT_01,Kitl;Stat1;Stat2;Stat3;Stat4;Stat5a;Stat5b;Stat6
STAT_Q6,Kitl;Stat1;Stat2;Stat3;Stat4;Stat5a;Stat5b;Stat6
STAT1_01,Stat1
STAT1_02,Stat1
STAT1_03,Stat1
STAT3_01,Stat3
STAT3_02,Stat3
STAT4_01,Stat4
STAT5A_01,Kitl;Stat5a
STAT5A_02,Kitl;Stat5a
STAT5A_03,Stat5a
STAT5A_04,Stat5a
STAT5B_01,Kitl;Stat5a;Stat5b
STAT6_01,Stat6
STAT6_02,Stat6
STRA13_01,Stra13;Bhlhe40
SZF11_01,Foxc1
T3R_01,-
T3R_Q6,Rara;Rarg;Rxra;Rxrb;Rxrg;Thra;Thrb;Rarb
TAACC_B,-
TAL1_Q6,Tal1
